candidate_id,rank,score,reasoning
CAND_0002025,1,0.9520,"5.9yr Senior AI Engineer at Apple (Trivandrum, Kerala, India) — hands-on with FAISS, OpenSearch, Weaviate; evidence of production ML deployment; actively looking; GitHub score 97; notice 30d. Strong availability and engagement signals."
CAND_0046064,2,0.9520,"8.9yr Senior NLP Engineer at Salesforce (Coimbatore, Tamil Nadu, India) — hands-on with Pinecone, OpenSearch, Elasticsearch; evidence of production ML deployment; actively looking; GitHub score 67; notice 30d. Strong availability and engagement signals."
CAND_0071974,3,0.9520,"7.8yr Senior AI Engineer at Netflix (Vizag, Andhra Pradesh, India) — hands-on with LoRA, Weaviate, Pinecone; evidence of production ML deployment; actively looking; GitHub score 83. Strong availability and engagement signals."
CAND_0077337,4,0.9520,"7.0yr Staff Machine Learning Engineer at Paytm (Kochi, Kerala, India) — hands-on with Semantic Search, QLoRA, pgvector; evidence of production ML deployment; actively looking; GitHub score 68. Strong availability and engagement signals."
CAND_0011687,5,0.9510,"7.8yr Senior NLP Engineer at Niramai (Indore, Madhya Pradesh, India) — hands-on with OpenSearch, FAISS, Embeddings; evidence of production ML deployment; actively looking; GitHub score 76; notice 15d. Strong availability and engagement signals."
CAND_0008425,6,0.9494,"7.8yr Senior NLP Engineer at Ola (Kolkata, West Bengal, India) — hands-on with Qdrant, pgvector, Sentence Transformers; evidence of production ML deployment; actively looking; GitHub score 53. Strong availability and engagement signals."
CAND_0080766,7,0.9449,"8.8yr Staff Machine Learning Engineer at Salesforce (Coimbatore, Tamil Nadu, India) — hands-on with Search Backend, LoRA, Search & Discovery; evidence of production ML deployment. Strong availability and engagement signals."
CAND_0018499,8,0.9343,"7.2yr Senior Machine Learning Engineer at Zomato (Noida, Uttar Pradesh, India) — hands-on with Weaviate, Pinecone, Information Retrieval; evidence of production ML deployment; actively looking; GitHub score 95; notice 15d. Strong availability and engagement signals."
CAND_0046525,9,0.9343,"6.1yr Senior Machine Learning Engineer at Genpact AI (Pune, Maharashtra, India) — hands-on with Elasticsearch, Information Retrieval, LLMs; evidence of production ML deployment; actively looking. Strong availability and engagement signals."
CAND_0033861,10,0.9308,"8.0yr Senior NLP Engineer at Mad Street Den (Vizag, Andhra Pradesh, India) — hands-on with Weaviate, LoRA, LLMs; evidence of production ML deployment; notice 30d. Note: last active 108d ago, low recruiter response rate (16%)."
CAND_0055905,11,0.9280,"Senior Machine Learning Engineer with 8.1yr exp (London, UK); hands-on with Elasticsearch, Hugging Face Transformers, LLMs; evidence of production ML deployment; actively looking; notice 30d. Concern: based in UK, relocation unclear."
CAND_0092278,12,0.9178,"Senior NLP Engineer with 6.8yr exp (Pune, Maharashtra, India); hands-on with Hugging Face Transformers, QLoRA, pgvector; evidence of production ML deployment. Concern: last active 209d ago."
CAND_0007411,13,0.9176,"Senior Machine Learning Engineer with 8.0yr exp (Kochi, Kerala, India); hands-on with OpenSearch, Fine-tuning LLMs, Vector Search; evidence of production ML deployment; GitHub score 90; notice 15d. Concern: last active 184d ago."
CAND_0039754,14,0.9170,"Senior Applied Scientist with 16.2yr exp (Indore, Madhya Pradesh, India); hands-on with Fine-tuning LLMs, Qdrant, NLP; evidence of production ML deployment; actively looking; GitHub score 78; notice 30d. Good overall fit."
CAND_0094759,15,0.9152,"Lead AI Engineer with 8.6yr exp (Mumbai, Maharashtra, India); hands-on with Hugging Face Transformers, Semantic Search, Qdrant; evidence of production ML deployment; GitHub score 76; notice 30d. Concern: last active 147d ago."
CAND_0037980,16,0.9147,"Senior Applied Scientist with 9.0yr exp (Kolkata, West Bengal, India); hands-on with LoRA, Search Infrastructure, NLP; evidence of production ML deployment; actively looking. Concern: last active 68d ago."
CAND_0086022,17,0.9136,"Senior Applied Scientist with 5.3yr exp (Kolkata, West Bengal, India); hands-on with Vector Search, pgvector, Fine-tuning LLMs; evidence of production ML deployment; actively looking; GitHub score 75. Good overall fit."
CAND_0005260,18,0.9122,"Senior NLP Engineer with 5.2yr exp (Chennai, Tamil Nadu, India); hands-on with Information Retrieval, Semantic Search, NLP; evidence of production ML deployment. Good overall fit."
CAND_0030031,19,0.9108,"AI Engineer with 5.7yr exp (Trivandrum, Kerala, India); hands-on with Information Retrieval, NLP, RAG; evidence of production ML deployment; active on platform recently; notice 30d. Good overall fit."
CAND_0030468,20,0.9093,"Senior Applied Scientist with 5.4yr exp (Indore, Madhya Pradesh, India); hands-on with Information Retrieval Systems, Search & Discovery, Ranking Systems; evidence of production ML deployment; actively looking; GitHub score 45. Good overall fit."
CAND_0005538,21,0.9036,"Senior AI Engineer with 5.9yr exp (Kolkata, West Bengal, India); hands-on with Vector Representations, QLoRA, LoRA; evidence of production ML deployment; actively looking; GitHub score 58. Good overall fit."
CAND_0060072,22,0.8969,"Staff Machine Learning Engineer with 5.7yr exp (Indore, Madhya Pradesh, India); hands-on with Sentence Transformers, Fine-tuning LLMs, Qdrant; evidence of production ML deployment; GitHub score 82. Concern: last active 131d ago."
CAND_0064904,23,0.8962,"AI Engineer with 4.9yr exp (Hyderabad, Telangana, India); hands-on with Embeddings, Hugging Face Transformers, Elasticsearch; evidence of production ML deployment; actively looking; GitHub score 59. Concern: last active 79d ago."
CAND_0076831,24,0.8962,"Search Engineer with 4.0yr exp (Delhi, Delhi, India); hands-on with LLMs, Weaviate, NLP; evidence of production ML deployment; actively looking; GitHub score 47. Good overall fit."
CAND_0060315,25,0.8942,"Senior Software Engineer (ML) with 5.4yr exp (Bangalore, Karnataka, India); hands-on with Hugging Face Transformers, Fine-tuning LLMs, QLoRA; evidence of production ML deployment; actively looking. Concern: last active 91d ago."
